,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
30,Burkina Faso,BFA,-0.328,-0.256,0.125,-0.236,-0.149,-0.144,-0.177,-0.197,0.557,0.362,-0.025,0.165,0.69,-0.059,-0.308,-0.306,0.276,0.225,0.446,0.822,0.296,0.179,0.724,0.805,0.491,0.394,1.075,0.625,0.028,0.632,0.553,0.011,0.748,0.331,0.43,0.939,0.649,1.022,0.559,0.541,0.513,1.022,0.997,0.882,1.458,1.18,0.887,0.326,0.976,1.288,1.023,0.511,0.87,0.939,1.169,1.111,1.271,1.219,1.135,1.127,1.708,0.879,0.9390000000000001,0.9990000000000001,1.0590000000000002,1.1190000000000002,1.1790000000000003,1.2390000000000003,1.2990000000000004,1.3590000000000004,1.4190000000000005,1.4790000000000005,1.5390000000000006,1.5990000000000006,1.6590000000000007,1.7190000000000007,1.7790000000000008,1.8390000000000009,1.899000000000001,1.959000000000001
31,Burundi,BDI,0.06,-0.464,-0.032,-0.153,-0.229,0.043,-0.217,-0.232,0.196,0.317,-0.246,0.194,0.587,0.17,,,,,,,,0.544,0.576,,,0.448,0.527,0.303,0.04,0.386,-0.006,0.112,,,,,,0.652,,,0.372,0.774,0.912,1.016,,,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cabo Verde,CPV,-0.092,0.271,0.535,0.053,-0.267,0.329,-0.001,-0.296,0.935,0.753,-0.212,0.057,0.355,-0.52,,-0.289,,0.334,0.694,0.685,0.383,0.626,0.623,,0.215,0.084,1.119,0.927,1.062,1.425,0.792,1.0,0.62,0.553,1.587,1.71,1.766,1.892,0.907,1.151,1.441,1.473,0.982,1.02,0.634,0.818,0.283,0.764,0.599,2.083,1.01,0.379,0.813,0.565,0.553,1.214,1.502,0.408,1.085,,1.118,1.206,1.266,1.326,1.3860000000000001,1.4460000000000002,1.5060000000000002,1.5660000000000003,1.6260000000000003,1.6860000000000004,1.7460000000000004,1.8060000000000005,1.8660000000000005,1.9260000000000006,1.9860000000000007,2.0460000000000007,2.1060000000000008,2.166000000000001,2.226000000000001,2.286000000000001
33,Cambodia,KHM,-0.038,-0.137,-0.293,0.18,-0.19,0.441,-0.095,-0.147,0.455,0.055,-0.486,0.014,0.322,-0.369,-0.048,-0.483,0.011,0.199,0.381,0.303,0.264,0.092,0.447,0.084,0.236,0.056,0.611,0.316,0.218,0.558,0.465,0.444,0.317,0.409,0.626,0.289,0.335,1.275,0.343,0.186,0.592,0.654,0.642,0.54,0.678,0.693,0.574,0.392,0.375,1.152,0.354,0.857,0.999,0.549,1.039,1.331,0.994,0.655,1.37,1.275,0.786,0.886,0.946,1.006,1.066,1.1260000000000001,1.1860000000000002,1.2460000000000002,1.3060000000000003,1.3660000000000003,1.4260000000000004,1.4860000000000004,1.5460000000000005,1.6060000000000005,1.6660000000000006,1.7260000000000006,1.7860000000000007,1.8460000000000008,1.9060000000000008,1.9660000000000009
34,Cameroon,CMR,-0.101,-0.214,0.145,-0.17,-0.107,-0.017,-0.136,-0.103,0.221,0.152,-0.147,0.027,0.55,-0.088,-0.204,-0.195,0.307,0.039,0.394,0.362,-0.007,0.004,0.139,0.172,0.054,0.12,0.477,0.263,-0.306,0.559,0.532,-0.27,0.191,0.265,0.264,0.316,0.504,1.217,0.613,0.387,0.231,0.761,0.893,0.845,1.05,1.057,0.775,0.694,1.077,1.215,0.596,0.392,0.759,0.774,1.045,1.066,1.026,0.944,1.288,1.082,1.2,0.838,0.8979999999999999,0.958,1.018,1.078,1.1380000000000001,1.1980000000000002,1.2580000000000002,1.3180000000000003,1.3780000000000003,1.4380000000000004,1.4980000000000004,1.5580000000000005,1.6180000000000005,1.6780000000000006,1.7380000000000007,1.7980000000000007,1.8580000000000008,1.9180000000000008
35,Canada,CAN,0.049,-0.116,0.337,-0.296,-0.869,-0.158,-0.457,0.477,-0.003,0.428,-0.02,-1.792,0.319,-0.835,0.234,0.088,1.083,-0.605,-0.221,0.919,1.563,-0.672,0.497,0.347,-0.301,0.025,1.359,1.213,0.027,0.084,0.346,0.114,0.351,0.473,0.946,-0.12,0.433,2.484,1.707,1.303,1.433,0.549,1.254,0.492,1.298,2.365,1.344,0.865,0.552,2.931,1.462,2.166,1.205,0.302,1.277,2.431,1.534,0.53,1.329,1.155,2.521,1.284,1.344,1.4040000000000001,1.4640000000000002,1.5240000000000002,1.5840000000000003,1.6440000000000003,1.7040000000000004,1.7640000000000005,1.8240000000000005,1.8840000000000006,1.9440000000000006,2.0040000000000004,2.0640000000000005,2.1240000000000006,2.1840000000000006,2.2440000000000007,2.3040000000000007,2.3640000000000008
36,Cayman Islands,CYM,,-0.149,-0.298,,,-0.172,-0.235,-0.37,0.144,-0.19,-0.182,0.226,0.398,0.403,0.994,-0.022,0.378,0.274,0.28,0.534,-0.05,0.528,0.321,0.213,0.136,0.243,0.537,0.769,0.745,0.751,0.854,0.583,1.114,1.349,1.435,0.855,1.406,1.34,0.867,,,,,,1.062,1.0,1.151,0.959,0.862,1.065,0.75,0.818,0.974,1.181,1.422,1.36,1.332,0.941,1.312,1.353,1.032,1.049,1.109,1.169,1.229,1.2890000000000001,1.3490000000000002,1.4090000000000003,1.4690000000000003,1.5290000000000004,1.5890000000000004,1.6490000000000005,1.7090000000000005,1.7690000000000006,1.8290000000000006,1.8890000000000007,1.9490000000000007,2.009000000000001,2.069000000000001,2.129000000000001
37,Central African Rep.,CAF,0.005,-0.315,0.026,-0.159,-0.067,0.023,-0.309,-0.216,0.098,0.202,-0.086,0.027,0.512,-0.095,-0.095,-0.162,0.263,0.076,0.406,0.444,-0.082,0.084,0.3,0.026,0.083,0.375,0.413,0.155,-0.205,0.282,0.448,-0.463,0.222,0.458,0.059,0.008,0.358,1.153,0.396,0.597,0.363,0.722,0.813,0.932,0.977,0.968,0.491,0.52,0.96,1.019,0.539,0.233,0.69,0.614,0.954,1.144,1.099,1.133,1.259,1.031,1.14,0.954,1.014,1.074,1.1340000000000001,1.1940000000000002,1.2540000000000002,1.3140000000000003,1.3740000000000003,1.4340000000000004,1.4940000000000004,1.5540000000000005,1.6140000000000005,1.6740000000000006,1.7340000000000007,1.7940000000000007,1.8540000000000008,1.9140000000000008,1.9740000000000009,2.0340000000000007
38,Chad,TCD,-0.428,-0.286,0.288,-0.198,-0.127,-0.034,-0.396,-0.178,0.587,0.132,-0.181,0.216,0.751,0.008,-0.137,0.271,-0.009,-0.095,0.531,0.434,0.188,0.431,0.093,0.593,0.297,0.748,0.422,0.149,-0.229,0.498,0.533,-0.348,0.164,0.284,0.117,0.525,0.495,0.859,0.552,0.396,0.345,0.859,0.907,0.897,1.225,1.42,0.692,0.534,1.304,1.33,0.978,0.585,1.058,0.909,1.109,0.923,0.996,1.234,1.037,0.85,1.092,0.494,0.554,0.6140000000000001,0.6740000000000002,0.7340000000000002,0.7940000000000003,0.8540000000000003,0.9140000000000004,0.9740000000000004,1.0340000000000005,1.0940000000000005,1.1540000000000006,1.2140000000000006,1.2740000000000007,1.3340000000000007,1.3940000000000008,1.4540000000000008,1.514000000000001,1.574000000000001
39,Chile,CHL,-0.187,0.315,0.133,-0.151,0.152,-0.185,-0.148,0.349,0.142,0.177,-0.404,-0.17,-0.115,-0.252,-0.236,-0.374,0.261,0.25,0.161,0.236,0.257,0.276,0.484,-0.232,0.225,-0.028,0.506,-0.043,0.223,0.113,-0.003,-0.197,0.138,0.141,-0.142,0.138,0.609,0.603,0.118,-0.379,-0.151,-0.073,0.131,0.349,0.036,0.335,-0.457,0.26,0.288,-0.226,0.0,0.504,0.252,0.271,0.617,0.797,0.641,0.302,0.451,0.709,0.642,0.174,0.23399999999999999,0.294,0.354,0.414,0.474,0.534,0.5940000000000001,0.6540000000000001,0.7140000000000002,0.7740000000000002,0.8340000000000003,0.8940000000000003,0.9540000000000004,1.0140000000000005,1.0740000000000005,1.1340000000000006,1.1940000000000006,1.2540000000000007
40,"China, P.R.: Hong Kong",HKG,0.052,-0.063,0.319,0.108,0.144,0.646,0.05,-0.646,-0.012,-0.397,-0.19,-0.144,0.416,-0.354,0.147,-0.784,0.148,-0.01,0.002,0.235,0.36,0.045,-0.207,-0.543,-0.326,-0.032,0.786,-0.185,0.21,0.282,0.76,-0.198,0.338,0.401,0.031,0.072,0.328,0.997,1.02,0.355,0.907,1.015,1.033,0.751,0.827,1.007,1.121,0.524,1.02,0.506,0.439,0.663,0.927,0.803,1.258,0.845,1.404,1.218,1.783,1.835,1.964,1.369,1.429,1.489,1.5490000000000002,1.6090000000000002,1.6690000000000003,1.7290000000000003,1.7890000000000004,1.8490000000000004,1.9090000000000005,1.9690000000000005,2.0290000000000004,2.0890000000000004,2.1490000000000005,2.2090000000000005,2.2690000000000006,2.3290000000000006,2.3890000000000007,2.4490000000000007
41,"China, P.R.: Macao",MAC,0.052,-0.063,0.319,0.108,0.144,0.646,0.05,-0.646,-0.012,-0.397,-0.19,-0.144,0.416,-0.354,0.147,-0.784,0.148,-0.01,0.002,0.235,0.36,0.045,-0.207,-0.543,-0.326,-0.032,0.786,-0.185,0.21,0.282,0.76,-0.198,0.338,0.401,0.031,0.072,0.328,0.997,1.02,0.355,0.907,1.015,1.033,0.751,0.827,1.007,1.121,0.524,1.02,0.506,0.439,0.663,0.927,0.803,1.258,0.845,1.404,1.218,1.783,1.835,1.964,1.369,1.429,1.489,1.5490000000000002,1.6090000000000002,1.6690000000000003,1.7290000000000003,1.7890000000000004,1.8490000000000004,1.9090000000000005,1.9690000000000005,2.0290000000000004,2.0890000000000004,2.1490000000000005,2.2090000000000005,2.2690000000000006,2.3290000000000006,2.3890000000000007,2.4490000000000007
42,"China, P.R.: Mainland",CHN,0.256,-0.147,0.288,-0.023,0.081,0.186,-0.274,-0.402,-0.208,-0.3,0.041,0.018,0.413,-0.003,0.283,-0.387,-0.053,0.248,0.305,0.259,0.229,0.392,0.135,-0.134,-0.11,-0.028,0.441,0.406,0.433,0.858,0.537,0.146,0.299,0.752,0.598,0.232,0.758,1.29,1.256,0.599,1.064,1.155,0.844,1.134,1.07,1.252,1.556,1.108,1.353,0.984,0.808,0.639,1.088,1.062,1.302,1.333,1.588,1.375,1.411,1.58,1.656,1.855,1.915,1.975,2.035,2.095,2.1550000000000002,2.2150000000000003,2.2750000000000004,2.3350000000000004,2.3950000000000005,2.4550000000000005,2.5150000000000006,2.5750000000000006,2.6350000000000007,2.6950000000000007,2.755000000000001,2.815000000000001,2.875000000000001,2.935000000000001
43,Colombia,COL,0.023,-0.149,-0.021,0.092,-0.128,0.143,-0.255,-0.209,0.319,0.044,-0.422,-0.035,0.316,-0.31,-0.281,-0.186,0.251,0.131,0.202,0.455,0.145,0.2,0.62,-0.233,-0.013,0.0,0.581,0.331,-0.065,0.284,0.416,0.558,0.232,0.22,0.5,0.13,0.553,0.936,-0.012,0.0,0.469,0.706,0.726,0.638,0.744,0.599,0.69,0.356,0.846,1.034,0.491,0.711,0.839,0.821,1.276,1.109,0.774,0.977,1.278,1.338,0.824,0.671,0.7310000000000001,0.7910000000000001,0.8510000000000002,0.9110000000000003,0.9710000000000003,1.0310000000000004,1.0910000000000004,1.1510000000000005,1.2110000000000005,1.2710000000000006,1.3310000000000006,1.3910000000000007,1.4510000000000007,1.5110000000000008,1.5710000000000008,1.631000000000001,1.691000000000001,1.751000000000001
44,"Comoros, Union of the",COM,0.458,0.002,-0.247,-0.212,-0.334,0.06,0.155,-0.452,0.199,0.059,-0.538,-0.068,0.142,-0.368,-0.158,-0.076,0.444,0.175,0.152,0.188,0.072,0.52,0.343,-0.448,,-0.017,0.437,0.444,-0.252,0.138,0.282,0.102,0.215,0.577,0.458,-0.005,0.345,0.93,0.358,0.132,0.28,0.736,0.413,0.336,0.432,0.238,0.57,0.356,0.692,0.933,0.569,0.532,0.459,0.551,0.768,0.743,0.993,0.747,1.339,1.072,0.693,0.564,0.6239999999999999,0.6839999999999999,0.744,0.804,0.8640000000000001,0.9240000000000002,0.9840000000000002,1.0440000000000003,1.1040000000000003,1.1640000000000004,1.2240000000000004,1.2840000000000005,1.3440000000000005,1.4040000000000006,1.4640000000000006,1.5240000000000007,1.5840000000000007,1.6440000000000008
45,"Congo, Dem. Rep. of the",COD,-0.011,-0.16,-0.041,-0.119,-0.19,0.114,-0.123,-0.169,0.138,0.225,-0.133,0.079,0.456,-0.08,-0.115,-0.194,0.239,0.13,0.394,0.297,0.097,0.085,0.423,0.212,0.134,0.254,0.531,0.444,-0.137,0.14,0.264,-0.177,0.083,0.296,0.414,-0.036,0.69,0.944,0.362,0.443,0.318,0.812,0.873,0.848,0.998,0.851,0.696,0.556,0.831,1.272,0.754,0.421,0.982,1.004,1.084,1.574,1.339,1.469,1.556,1.682,1.563,1.376,1.436,1.496,1.556,1.616,1.6760000000000002,1.7360000000000002,1.7960000000000003,1.8560000000000003,1.9160000000000004,1.9760000000000004,2.0360000000000005,2.0960000000000005,2.1560000000000006,2.2160000000000006,2.2760000000000007,2.3360000000000007,2.396000000000001,2.456000000000001
46,"Congo, Rep. of",COG,-0.157,-0.028,0.136,-0.115,-0.16,0.107,-0.143,-0.104,0.122,0.157,-0.096,-0.066,0.481,-0.087,-0.156,-0.279,0.202,0.084,0.393,0.283,-0.254,-0.27,0.23,0.076,-0.265,-0.014,0.361,0.202,-0.321,0.032,0.138,-0.258,0.02,0.286,0.489,-0.034,,1.071,0.576,0.362,0.312,0.71,0.782,0.841,0.811,0.769,0.811,0.716,0.718,1.213,0.583,0.574,0.811,0.78,1.095,1.516,1.186,1.269,1.405,1.506,1.275,1.2,1.26,1.32,1.3800000000000001,1.4400000000000002,1.5000000000000002,1.5600000000000003,1.6200000000000003,1.6800000000000004,1.7400000000000004,1.8000000000000005,1.8600000000000005,1.9200000000000006,1.9800000000000006,2.0400000000000005,2.1000000000000005,2.1600000000000006,2.2200000000000006,2.2800000000000007
47,Cook Islands,COK,0.174,-0.018,-0.053,0.215,-0.323,0.072,-0.333,-0.356,0.0,0.229,-0.096,-0.047,0.452,-0.196,-0.265,-0.294,0.158,0.121,0.145,0.265,0.124,0.083,0.258,0.11,0.132,0.368,0.151,0.458,0.24,0.279,0.465,0.46,0.207,0.281,0.534,0.435,0.24,,0.922,0.585,0.665,0.554,0.507,0.538,0.413,0.612,0.642,0.506,0.356,0.867,0.754,0.484,0.7,0.457,-0.132,0.608,0.973,0.536,0.518,0.572,0.866,0.776,0.8360000000000001,0.8960000000000001,0.9560000000000002,1.0160000000000002,1.0760000000000003,1.1360000000000003,1.1960000000000004,1.2560000000000004,1.3160000000000005,1.3760000000000006,1.4360000000000006,1.4960000000000007,1.5560000000000007,1.6160000000000008,1.6760000000000008,1.7360000000000009,1.796000000000001,1.856000000000001
48,Costa Rica,CRI,-0.037,-0.422,-0.047,-0.352,0.041,,,,,,-0.413,0.204,0.243,-0.192,-0.321,0.202,0.366,0.182,0.255,0.411,0.272,0.581,1.172,0.161,0.108,,0.847,0.329,0.24,0.778,0.769,0.689,0.53,0.786,0.946,0.257,1.056,1.3,0.001,0.176,0.834,1.127,1.103,0.996,0.747,0.915,0.867,0.445,1.137,1.037,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Côte d'Ivoire,CIV,-0.096,-0.124,0.133,-0.228,-0.178,0.123,-0.189,-0.057,0.359,0.3,-0.106,0.029,0.64,-0.014,-0.135,-0.307,0.344,0.139,0.554,0.484,0.307,0.219,0.708,0.554,0.287,0.268,1.062,0.75,0.357,0.658,0.545,0.341,0.582,0.597,0.757,0.824,0.753,1.352,0.571,0.534,0.63,0.925,1.198,0.884,1.17,1.058,1.145,0.852,1.034,1.369,1.053,0.758,1.044,0.931,1.368,1.571,1.624,1.433,1.441,1.495,1.601,1.334,1.3940000000000001,1.4540000000000002,1.5140000000000002,1.5740000000000003,1.6340000000000003,1.6940000000000004,1.7540000000000004,1.8140000000000005,1.8740000000000006,1.9340000000000006,1.9940000000000007,2.0540000000000007,2.1140000000000008,2.174000000000001,2.234000000000001,2.294000000000001,2.354000000000001,2.414000000000001
50,"Croatia, Rep. of",HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834,0.404,1.715,0.433,-0.023,0.314,1.161,0.709,1.636,1.61,1.278,1.291,0.681,0.307,0.734,2.0,1.479,1.517,0.883,1.279,1.866,1.288,2.053,1.943,1.852,1.568,2.325,2.121,2.026,1.618,2.288,2.348,2.408,2.468,2.528,2.588,2.648,2.708,2.7680000000000002,2.8280000000000003,2.8880000000000003,2.9480000000000004,3.0080000000000005,3.0680000000000005,3.1280000000000006,3.1880000000000006,3.2480000000000007,3.3080000000000007,3.3680000000000008
51,Cuba,CUB,-0.046,-0.045,-0.116,0.129,0.05,-0.308,-0.245,-0.354,-0.001,-0.374,0.028,0.394,0.358,0.039,0.481,-0.222,0.142,0.032,0.34,0.467,-0.047,0.554,0.263,0.249,0.186,0.312,0.698,0.568,0.645,0.802,0.866,0.556,0.561,0.919,1.007,0.491,0.921,1.105,0.698,0.456,0.413,0.807,0.964,0.732,0.627,0.869,0.857,0.514,0.812,0.726,0.703,0.774,0.998,1.175,1.431,1.46,1.47,1.175,1.627,1.75,1.344,1.503,1.563,1.623,1.683,1.743,1.8030000000000002,1.8630000000000002,1.9230000000000003,1.9830000000000003,2.043,2.103,2.1630000000000003,2.2230000000000003,2.2830000000000004,2.3430000000000004,2.4030000000000005,2.4630000000000005,2.5230000000000006,2.5830000000000006
52,Cyprus,CYP,0.024,0.754,0.704,-0.606,-0.206,0.629,-0.763,-0.001,0.186,0.51,-0.219,-0.568,-0.334,-0.161,-0.195,-0.687,0.144,-0.01,0.626,-0.271,0.105,-0.315,-0.781,0.014,-0.068,0.249,-0.257,0.048,0.106,0.084,0.383,-0.916,-0.407,1.098,0.116,0.316,0.069,1.019,1.138,0.683,1.23,0.888,0.649,0.675,0.4,0.684,0.873,1.084,1.027,2.045,0.698,0.919,1.182,1.006,1.128,1.504,0.783,2.104,1.496,1.632,1.948,1.179,1.239,1.2990000000000002,1.3590000000000002,1.4190000000000003,1.4790000000000003,1.5390000000000004,1.5990000000000004,1.6590000000000005,1.7190000000000005,1.7790000000000006,1.8390000000000006,1.8990000000000007,1.9590000000000007,2.0190000000000006,2.0790000000000006,2.1390000000000007,2.1990000000000007,2.259000000000001
53,Czech Rep.,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294,1.804,1.042,-0.604,0.14,1.257,1.11,1.907,1.227,1.531,1.082,0.821,0.749,0.955,2.172,1.648,1.429,0.413,1.042,1.581,0.78,2.504,2.109,2.063,1.579,2.634,2.523,2.322,1.281,2.355,2.415,2.475,2.535,2.595,2.6550000000000002,2.7150000000000003,2.7750000000000004,2.8350000000000004,2.8950000000000005,2.9550000000000005,3.0150000000000006,3.0750000000000006,3.1350000000000007,3.1950000000000007,3.255000000000001,3.315000000000001,3.375000000000001,3.435000000000001
54,Denmark,DNK,1.12,-0.641,-1.02,-0.276,-0.605,-0.505,0.828,0.272,-0.138,-1.213,0.251,0.283,0.665,0.569,1.332,0.294,-0.022,0.141,-1.194,-0.444,0.298,0.0,1.061,0.38,-1.001,-0.442,-0.985,0.923,1.8,1.839,0.612,1.448,0.23,0.962,1.296,-0.758,0.645,0.861,1.325,1.707,1.031,1.64,0.696,1.023,1.274,1.341,2.129,1.854,1.318,-0.201,0.677,1.145,0.401,2.668,1.507,1.839,1.61,2.096,2.167,2.625,1.685,2.23,2.29,2.35,2.41,2.47,2.5300000000000002,2.5900000000000003,2.6500000000000004,2.7100000000000004,2.7700000000000005,2.8300000000000005,2.8900000000000006,2.9500000000000006,3.0100000000000007,3.0700000000000007,3.130000000000001,3.190000000000001,3.250000000000001,3.310000000000001
55,Djibouti,DJI,0.146,-0.189,0.02,-0.263,-0.389,0.042,-0.431,-0.475,0.216,0.133,-0.188,0.179,0.631,-0.227,0.097,-0.068,0.167,0.188,0.106,0.708,-0.037,0.047,0.189,-0.216,-0.069,-0.184,0.082,0.435,-0.255,0.367,0.331,0.298,0.149,0.109,0.462,0.562,0.439,0.773,0.259,0.699,0.646,1.253,1.3,0.82,1.091,0.784,0.775,0.219,1.315,0.964,0.842,,1.216,1.101,1.623,1.443,1.678,1.16,1.234,1.332,0.973,1.435,1.495,1.5550000000000002,1.6150000000000002,1.6750000000000003,1.7350000000000003,1.7950000000000004,1.8550000000000004,1.9150000000000005,1.9750000000000005,2.0350000000000006,2.0950000000000006,2.1550000000000007,2.2150000000000007,2.275000000000001,2.335000000000001,2.395000000000001,2.455000000000001,2.515000000000001
56,Dominica,DMA,0.064,-0.082,0.181,0.055,-0.443,0.157,-0.137,-0.254,0.31,0.209,-0.188,-0.075,0.306,-0.229,-0.256,-0.285,0.289,0.361,0.319,0.723,0.748,0.409,0.7,0.11,0.111,0.187,0.804,0.561,0.03,0.476,0.574,0.512,0.634,0.607,0.775,0.518,0.731,1.245,0.657,0.496,,0.697,0.974,0.606,1.003,0.748,0.887,0.301,0.522,1.295,0.582,0.685,0.702,0.71,1.004,1.173,0.925,0.787,0.879,1.179,0.878,0.786,0.8460000000000001,0.9060000000000001,0.9660000000000002,1.0260000000000002,1.0860000000000003,1.1460000000000004,1.2060000000000004,1.2660000000000005,1.3260000000000005,1.3860000000000006,1.4460000000000006,1.5060000000000007,1.5660000000000007,1.6260000000000008,1.6860000000000008,1.7460000000000009,1.806000000000001,1.866000000000001
57,Dominican Rep.,DOM,-0.06,-0.057,0.057,0.163,-0.331,0.018,-0.239,-0.256,0.359,0.101,-0.176,-0.026,0.428,-0.399,0.008,-0.291,0.3,0.09,0.304,0.741,0.612,0.457,0.7,0.282,0.112,0.228,0.744,0.565,0.224,0.651,0.585,0.203,0.335,0.708,0.714,0.62,0.836,1.23,0.889,0.548,0.672,0.929,1.048,0.642,0.883,0.936,1.052,0.561,0.82,1.007,0.71,0.707,1.103,1.132,1.303,1.106,1.009,1.074,1.46,1.636,0.948,0.899,0.9590000000000001,1.0190000000000001,1.0790000000000002,1.1390000000000002,1.1990000000000003,1.2590000000000003,1.3190000000000004,1.3790000000000004,1.4390000000000005,1.4990000000000006,1.5590000000000006,1.6190000000000007,1.6790000000000007,1.7390000000000008,1.7990000000000008,1.8590000000000009,1.919000000000001,1.979000000000001
58,Ecuador,ECU,-0.19,-0.237,-0.09,-0.268,0.257,0.05,-0.427,-0.351,0.405,-0.175,-0.54,0.542,0.148,-0.284,-0.351,0.289,0.244,0.241,0.491,0.438,0.118,0.631,1.161,0.06,-0.07,0.223,1.135,0.385,0.034,0.551,0.541,0.869,0.559,0.405,0.754,0.053,1.302,1.275,0.231,0.285,0.49,0.763,0.8,0.81,0.772,0.767,0.76,0.649,0.917,0.907,0.768,0.712,0.562,0.945,1.385,1.476,1.084,0.922,1.36,1.34,0.776,0.578,0.6379999999999999,0.698,0.758,0.8180000000000001,0.8780000000000001,0.9380000000000002,0.9980000000000002,1.0580000000000003,1.1180000000000003,1.1780000000000004,1.2380000000000004,1.2980000000000005,1.3580000000000005,1.4180000000000006,1.4780000000000006,1.5380000000000007,1.5980000000000008,1.6580000000000008
59,"Egypt, Arab Rep. of",EGY,-0.223,0.666,0.66,-0.384,-0.098,0.439,-0.69,-0.133,0.433,-0.086,-0.234,-0.027,-0.304,-0.123,-0.493,-0.314,-0.131,-0.289,0.561,-0.101,-0.261,-0.406,-1.121,-0.225,0.246,0.104,-0.349,0.183,-0.242,-0.12,0.377,-0.653,-0.009,0.58,0.119,0.331,-0.042,0.677,0.764,-0.015,0.62,0.772,0.661,0.577,0.439,0.634,0.506,0.834,0.826,2.239,0.541,0.853,0.97,1.171,1.124,1.311,0.518,1.993,0.935,1.021,1.639,0.566,0.6259999999999999,0.6859999999999999,0.746,0.806,0.8660000000000001,0.9260000000000002,0.9860000000000002,1.0460000000000003,1.1060000000000003,1.1660000000000004,1.2260000000000004,1.2860000000000005,1.3460000000000005,1.4060000000000006,1.4660000000000006,1.5260000000000007,1.5860000000000007,1.6460000000000008
60,El Salvador,SLV,-0.154,-0.315,-0.236,-0.1,-0.128,0.061,-0.464,-0.345,0.269,-0.026,-0.252,0.43,0.451,-0.255,0.107,-0.151,0.533,0.267,0.601,0.584,0.206,0.498,0.789,0.112,0.25,0.266,0.778,0.595,0.287,0.53,0.595,0.592,0.355,0.702,0.657,0.231,0.925,1.001,0.446,0.427,0.669,0.894,1.078,0.834,0.641,0.636,0.512,0.266,0.865,0.567,0.559,0.698,0.697,0.738,1.378,1.483,0.937,0.977,1.16,1.641,1.22,0.931,0.9910000000000001,1.0510000000000002,1.1110000000000002,1.1710000000000003,1.2310000000000003,1.2910000000000004,1.3510000000000004,1.4110000000000005,1.4710000000000005,1.5310000000000006,1.5910000000000006,1.6510000000000007,1.7110000000000007,1.7710000000000008,1.8310000000000008,1.891000000000001,1.951000000000001,2.011000000000001
61,"Equatorial Guinea, Rep. of",GNQ,-0.14,-0.055,0.245,-0.148,-0.173,0.121,-0.088,-0.088,0.082,0.218,-0.144,-0.103,0.437,-0.191,-0.208,-0.367,0.141,-0.043,0.337,0.294,0.071,-0.12,0.127,0.195,-0.025,-0.089,0.379,0.294,-0.031,0.14,,-0.225,0.068,0.29,0.931,0.478,,1.005,0.526,0.362,0.36,0.622,0.901,0.765,0.783,0.649,0.824,0.693,0.817,1.093,0.767,0.731,0.777,0.937,0.88,1.498,1.276,0.833,1.365,1.278,1.008,0.982,1.042,1.102,1.1620000000000001,1.2220000000000002,1.2820000000000003,1.3420000000000003,1.4020000000000004,1.4620000000000004,1.5220000000000005,1.5820000000000005,1.6420000000000006,1.7020000000000006,1.7620000000000007,1.8220000000000007,1.8820000000000008,1.9420000000000008,2.0020000000000007,2.0620000000000007
62,"Eritrea, The State of",ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,0.167,0.309,0.652,0.402,0.349,0.976,0.608,0.955,0.699,0.817,0.186,0.989,1.667,1.527,1.378,1.361,1.071,0.748,1.588,0.9,1.236,0.927,0.542,,0.964,0.088,0.148,0.208,0.268,0.328,0.388,0.448,0.508,0.5680000000000001,0.6280000000000001,0.6880000000000002,0.7480000000000002,0.8080000000000003,0.8680000000000003,0.9280000000000004,0.9880000000000004,1.0480000000000005,1.1080000000000005,1.1680000000000006
63,"Estonia, Rep. of",EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.602,0.56,0.362,1.743,-0.364,0.917,0.524,1.506,2.046,1.817,1.46,0.208,1.154,1.583,1.25,2.255,2.587,1.604,0.53,1.29,1.45,1.165,2.414,2.349,1.914,1.482,2.394,2.194,3.598,2.135,1.974,2.034,2.094,2.154,2.214,2.274,2.334,2.394,2.454,2.5140000000000002,2.5740000000000003,2.6340000000000003,2.6940000000000004,2.7540000000000004,2.8140000000000005,2.8740000000000006,2.9340000000000006,2.9940000000000007,3.0540000000000007
