,Country,ISO3,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
10,"Aruba, Kingdom of the Netherlands",ABW,-0.237,0.1,0.02,0.212,-0.43,0.13,-0.268,-0.062,0.531,0.303,-0.24,0.073,0.301,-0.437,-0.197,-0.416,0.28,0.519,,0.63,0.383,0.405,0.73,0.203,-0.186,-0.151,0.709,0.429,-0.124,0.183,0.417,0.59,,0.404,0.679,0.854,0.611,1.28,0.383,0.097,0.708,0.863,0.917,0.458,0.598,0.632,0.894,0.16,0.429,1.0,0.298,0.564,1.031,0.818,1.657,0.995,1.157,0.664,0.986,1.285,,,,,,,,,,,,,,,,,,,,
11,Australia,AUS,0.158,0.132,-0.097,-0.015,0.147,-0.229,-0.081,-0.199,0.11,0.007,-0.01,0.103,0.841,-0.348,0.053,-0.52,0.164,0.058,0.345,0.843,0.446,0.138,0.582,-0.211,0.294,0.336,0.312,0.916,0.1,0.5,0.763,0.24,0.436,0.17,0.358,0.539,0.321,1.028,0.516,0.084,0.275,0.667,0.775,0.656,1.126,0.639,0.855,0.546,0.95,0.593,0.135,0.228,1.413,1.107,0.996,1.102,1.079,1.061,1.346,1.337,0.569,0.681,0.7410000000000001,0.8010000000000002,0.8610000000000002,0.9210000000000003,0.9810000000000003,1.0410000000000004,1.1010000000000004,1.1610000000000005,1.2210000000000005,1.2810000000000006,1.3410000000000006,1.4010000000000007,1.4610000000000007,1.5210000000000008,1.5810000000000008,1.641000000000001,1.701000000000001,1.761000000000001
12,Austria,AUT,1.028,-0.623,-0.728,-0.369,-0.88,0.609,0.684,0.218,-0.12,-0.544,-0.054,0.108,-0.027,0.318,0.867,0.222,0.506,-0.469,-0.106,-0.266,0.286,0.395,1.073,-0.239,-0.562,0.325,-0.255,0.828,1.112,1.271,0.135,1.256,0.536,1.967,0.949,-0.193,0.524,1.354,0.992,1.774,1.508,1.542,1.474,0.84,0.638,0.919,2.151,1.597,1.554,0.668,1.384,1.792,1.105,2.421,2.175,2.1,1.746,2.53,2.375,2.322,1.41,2.538,2.598,2.658,2.718,2.778,2.838,2.898,2.958,3.0180000000000002,3.0780000000000003,3.1380000000000003,3.1980000000000004,3.2580000000000005,3.3180000000000005,3.3780000000000006,3.4380000000000006,3.4980000000000007,3.5580000000000007,3.6180000000000008
13,"Azerbaijan, Rep. of",AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84,-1.016,0.093,1.004,0.233,0.577,1.177,1.224,1.088,1.396,1.43,-0.104,1.323,0.879,1.524,0.979,0.882,0.778,2.328,0.733,1.421,1.498,1.153,1.594,1.356,1.199,2.131,1.878,1.889,1.958,2.029,2.089,2.149,2.209,2.269,2.329,2.3890000000000002,2.4490000000000003,2.5090000000000003,2.5690000000000004,2.6290000000000004,2.6890000000000005,2.7490000000000006,2.8090000000000006,2.8690000000000007,2.9290000000000007,2.9890000000000008,3.049000000000001,3.109000000000001
14,"Bahamas, The",BHS,0.016,-0.14,-0.173,0.116,0.008,-0.166,-0.18,-0.317,-0.108,-0.539,-0.132,0.449,0.31,0.068,0.466,-0.19,0.118,0.179,0.262,0.41,-0.064,0.521,0.211,0.088,0.301,0.287,0.456,0.403,0.681,0.789,0.81,0.298,0.372,0.786,0.734,0.083,0.843,0.989,0.684,0.269,0.2,0.92,1.067,0.398,0.477,0.389,0.913,0.894,0.487,0.382,0.458,0.539,0.751,1.066,1.267,1.207,1.476,1.18,1.6,1.715,0.714,1.304,1.364,1.4240000000000002,1.4840000000000002,1.5440000000000003,1.6040000000000003,1.6640000000000004,1.7240000000000004,1.7840000000000005,1.8440000000000005,1.9040000000000006,1.9640000000000006,2.0240000000000005,2.0840000000000005,2.1440000000000006,2.2040000000000006,2.2640000000000007,2.3240000000000007,2.384000000000001
15,"Bahrain, Kingdom of",BHR,-0.481,0.392,0.633,-0.56,0.237,0.539,-0.352,-0.435,0.579,0.262,-0.232,-0.6,-0.259,-0.24,-0.198,-0.48,0.355,0.123,0.882,0.379,0.435,-0.082,-0.847,0.03,0.483,0.779,0.54,0.619,0.029,0.43,-0.258,-0.581,0.085,0.951,0.198,0.637,0.314,1.368,2.002,1.155,1.263,1.626,1.297,1.42,1.095,1.835,1.041,1.292,1.176,2.224,1.365,1.313,1.435,1.721,2.243,1.655,2.118,2.28,2.127,1.989,2.421,1.971,2.031,2.091,2.1510000000000002,2.2110000000000003,2.2710000000000004,2.3310000000000004,2.3910000000000005,2.4510000000000005,2.5110000000000006,2.5710000000000006,2.6310000000000007,2.6910000000000007,2.751000000000001,2.811000000000001,2.871000000000001,2.931000000000001,2.991000000000001,3.051000000000001
16,Bangladesh,BGD,0.128,-0.296,-0.115,0.083,-0.215,0.312,-0.213,-0.224,-0.001,-0.027,-0.591,-0.031,0.169,-0.14,-0.092,-0.095,-0.264,-0.208,0.497,0.142,-0.158,-0.031,-0.116,-0.297,0.075,0.044,0.349,0.357,0.098,-0.127,0.022,-0.057,-0.332,0.268,0.244,0.22,-0.051,0.628,0.896,0.365,0.445,0.541,0.404,0.441,0.783,0.979,0.426,0.213,0.972,0.89,0.298,0.351,0.336,0.611,0.799,1.336,1.142,0.911,1.151,0.934,1.326,1.24,1.3,1.36,1.4200000000000002,1.4800000000000002,1.5400000000000003,1.6000000000000003,1.6600000000000004,1.7200000000000004,1.7800000000000005,1.8400000000000005,1.9000000000000006,1.9600000000000006,2.0200000000000005,2.0800000000000005,2.1400000000000006,2.2000000000000006,2.2600000000000007,2.3200000000000007
17,Barbados,BRB,0.24,0.104,0.201,-0.019,-0.298,-0.176,-0.287,-0.407,0.256,0.011,-0.449,-0.295,-0.054,-0.358,-0.591,-0.461,-0.081,0.208,-0.009,0.502,0.266,0.102,0.223,-0.132,-0.331,-0.242,0.452,0.292,0.096,0.243,0.299,0.201,0.252,0.239,0.518,0.433,0.342,1.148,0.525,0.358,0.554,0.772,0.877,0.748,1.19,0.894,0.724,0.361,0.473,1.19,0.698,0.495,0.831,0.473,0.923,1.208,0.842,0.552,1.011,0.844,0.859,0.648,0.708,0.768,0.8280000000000001,0.8880000000000001,0.9480000000000002,1.0080000000000002,1.0680000000000003,1.1280000000000003,1.1880000000000004,1.2480000000000004,1.3080000000000005,1.3680000000000005,1.4280000000000006,1.4880000000000007,1.5480000000000007,1.6080000000000008,1.6680000000000008,1.7280000000000009
18,"Belarus, Rep. of",BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.259,0.013,1.129,1.488,-0.287,0.347,0.694,1.493,1.929,1.966,1.881,0.073,0.921,1.267,0.641,2.354,2.244,1.588,1.438,0.996,1.531,1.176,2.143,2.214,2.177,1.572,2.317,2.668,3.489,1.698,1.893,1.953,2.013,2.073,2.133,2.193,2.253,2.313,2.373,2.4330000000000003,2.4930000000000003,2.5530000000000004,2.6130000000000004,2.6730000000000005,2.7330000000000005,2.7930000000000006,2.8530000000000006,2.9130000000000007,2.9730000000000008
19,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.482,1.333,1.394,1.523,1.089,1.198,1.406,1.889,1.261,1.159,0.236,1.29,1.137,0.472,2.408,1.355,1.865,1.711,2.173,2.055,2.542,1.176,2.776,2.836,2.896,2.956,3.016,3.076,3.136,3.196,3.2560000000000002,3.3160000000000003,3.3760000000000003,3.4360000000000004,3.4960000000000004,3.5560000000000005,3.6160000000000005,3.6760000000000006,3.7360000000000007,3.7960000000000007,3.8560000000000008
