,ISO3,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
9,ATG,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.192307692307692,10.384615384615383,10.576923076923075,10.769230769230766,10.961538461538458,11.15384615384615,11.346153846153841,11.538461538461533,11.730769230769225,11.923076923076916,12.115384615384608,12.3076923076923,12.499999999999991,12.692307692307683,12.884615384615374,13.076923076923066,13.269230769230758,13.46153846153845
10,AUS,0.0,2.0,5.0,6.0,7.0,10.0,14.0,14.0,17.0,20.0,24.0,27.0,30.0,34.0,42.0,47.0,56.0,60.0,66.0,71.0,76.0,85.0,90.0,100.0,106.0,110.0,118.0,120.0,125.0,131.0,139.0,142.0,144.0,147.0,151.0,159.0,162.0,165.0,168.0,171.0,174.0,181.0,186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.57692307692307,193.15384615384613,196.7307692307692,200.30769230769226,203.88461538461533,207.4615384615384,211.03846153846146,214.61538461538453,218.1923076923076,221.76923076923066,225.34615384615373,228.9230769230768,232.49999999999986,236.07692307692292,239.653846153846,243.23076923076906,246.80769230769212,250.3846153846152
11,AUT,1.0,2.0,4.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,13.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,22.0,24.0,24.0,27.0,28.0,28.0,31.0,32.0,34.0,35.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,42.0,44.0,44.0,46.0,46.0,47.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.92307692307692,49.84615384615384,50.76923076923076,51.69230769230768,52.6153846153846,53.53846153846152,54.46153846153844,55.38461538461536,56.30769230769228,57.2307692307692,58.15384615384612,59.07692307692304,59.99999999999996,60.92307692307688,61.8461538461538,62.76923076923072,63.69230769230764,64.61538461538456
12,AZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.192307692307692,10.384615384615383,10.576923076923075,10.769230769230766,10.961538461538458,11.15384615384615,11.346153846153841,11.538461538461533,11.730769230769225,11.923076923076916,12.115384615384608,12.3076923076923,12.499999999999991,12.692307692307683,12.884615384615374,13.076923076923066,13.269230769230758,13.46153846153845
13,AZO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0384615384615383,2.0769230769230766,2.115384615384615,2.1538461538461533,2.1923076923076916,2.23076923076923,2.2692307692307683,2.3076923076923066,2.346153846153845,2.3846153846153832,2.4230769230769216,2.46153846153846,2.4999999999999982,2.5384615384615365,2.576923076923075,2.615384615384613,2.6538461538461515,2.69230769230769
14,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,7.0,10.0,12.0,19.0,21.0,24.0,26.0,30.0,32.0,32.0,32.0,33.0,35.0,35.0,36.0,39.0,42.0,45.0,46.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.88461538461539,47.769230769230774,48.65384615384616,49.53846153846155,50.423076923076934,51.30769230769232,52.19230769230771,53.076923076923094,53.96153846153848,54.84615384615387,55.730769230769255,56.61538461538464,57.50000000000003,58.384615384615415,59.2692307692308,60.15384615384619,61.038461538461576,61.92307692307696
15,BEL,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,9.0,9.0,9.0,11.0,12.0,13.0,13.0,13.0,15.0,17.0,17.0,17.0,22.0,24.0,24.0,27.0,28.0,29.0,31.0,31.0,34.0,36.0,37.0,39.0,40.0,41.0,43.0,43.0,45.0,48.0,50.0,53.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.03846153846154,56.07692307692308,57.11538461538462,58.15384615384616,59.1923076923077,60.23076923076924,61.26923076923078,62.30769230769232,63.34615384615386,64.3846153846154,65.42307692307693,66.46153846153847,67.5,68.53846153846153,69.57692307692307,70.6153846153846,71.65384615384613,72.69230769230766
16,BEN,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,17.0,18.0,19.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,24.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.48076923076923,25.96153846153846,26.44230769230769,26.92307692307692,27.40384615384615,27.88461538461538,28.36538461538461,28.84615384615384,29.32692307692307,29.8076923076923,30.28846153846153,30.76923076923076,31.24999999999999,31.73076923076922,32.21153846153845,32.692307692307686,33.17307692307692,33.65384615384615
17,BFA,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,14.0,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,27.0,27.0,31.0,31.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.61538461538461,33.230769230769226,33.84615384615384,34.46153846153845,35.076923076923066,35.69230769230768,36.30769230769229,36.923076923076906,37.53846153846152,38.15384615384613,38.769230769230745,39.38461538461536,39.99999999999997,40.615384615384585,41.2307692307692,41.84615384615381,42.461538461538424,43.07692307692304
18,BGD,2.0,5.0,7.0,15.0,16.0,21.0,27.0,30.0,36.0,42.0,50.0,56.0,61.0,72.0,81.0,90.0,97.0,104.0,111.0,122.0,133.0,140.0,146.0,153.0,160.0,172.0,179.0,184.0,189.0,195.0,201.0,206.0,211.0,214.0,218.0,225.0,228.0,233.0,237.0,243.0,245.0,247.0,249.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.78846153846155,258.5769230769231,263.36538461538464,268.1538461538462,272.94230769230774,277.7307692307693,282.51923076923083,287.3076923076924,292.0961538461539,296.8846153846155,301.673076923077,306.46153846153857,311.2500000000001,316.03846153846166,320.8269230769232,325.61538461538476,330.4038461538463,335.19230769230785
