,Unnamed: 0,iso_code,1750,1760,1770,1780,1790,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,31,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.113,0.24,0.497,1.271,2.238,3.217,4.271,5.321,6.346,7.42,8.391,9.341,10.358,11.262,12.277,13.308,14.406,16.419,18.327,20.282,22.467,24.482,26.454,28.195,29.924,31.942,33.809,35.996,38.18,40.395,42.489,44.584,46.746,48.889,51.039,53.282,55.164,57.333,59.221,61.555,64.109,67.14,69.492,72.191,75.138,78.199,80.912,83.092,85.463,88.302,,,,,,,,,,,,,,,,,,
1,155,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.072,0.137,0.212,0.323,0.436,0.551,0.671,0.805,0.969,1.129,1.316,1.513,1.714,1.921,2.177,2.411,2.628,2.884,3.105,3.414,3.671,3.954,4.29,4.649,4.957,5.327,5.731,6.228,6.67,7.152,7.589,8.008,8.429,8.862,9.3,9.755,10.257,10.815,11.378,11.904,12.409,13.012,13.676,14.433,15.288,16.077,16.934,17.824,18.695,19.399,20.108,20.838,21.591,22.341,23.031,23.737,24.46,25.218,26.013,26.884,27.774,28.647,29.508,30.404,31.383,32.531,33.779,35.083,36.329,37.442,38.824,40.154,40.86053846,41.56707692,42.27361538,42.98015385,43.68669231,44.39323077,45.09976923,45.80630769,46.51284615,47.21938462,47.92592308,48.63246154,49.339,50.04553846,50.75207692,51.45861538,52.16515385,52.87169231
2,133,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.017,0.046,0.053,0.081,0.143,0.211,0.259,0.324,0.383,0.411,0.433,0.456,0.479,0.493,0.51,0.525,0.56,0.596,0.66,0.747,,0.754,0.776,0.826,0.895,1.077,1.289,1.502,1.742,2.081,2.504,3.09,3.829,4.531,5.343,6.254,7.14,8.117,9.15,10.052,10.703,11.126,11.493,11.885,12.285,12.729,13.227,13.625,13.972,14.486,14.915,15.042,15.292,15.498,15.61,15.719,15.84,16.047,16.256,16.868,17.721,18.737,19.747,20.807,21.902,22.986,23.475,23.994,24.413,24.949,25.529,26.103,26.782,27.619,28.541,29.594,30.651,31.723,32.631,34.046,35.625,37.282,38.864,40.544,42.218,44.225,46.076,47.93,50.051,52.172,54.448,56.649,59.311,61.68,64.085,66.662,69.212,71.806,74.749,77.847,81.498,85.436,89.988,94.482,99.986,105.333,110.963,115.996,120.645,126,131.56,137.029,143.229,149.927,156.483,162.902,169.378,176.349,183.158,190.1,197.071,204.252,212.272,220.278,227.858,235.37,243.004,251.097,259.251,267.361,275.667,284.244,289.0555,293.867,298.6785,303.49,308.3015,313.113,317.9245,322.736,327.5475,332.359,337.1705,341.982,346.7935,351.605,356.4165,361.228,366.0395,370.851
3,100,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,0.374,0.735,1.087,1.293,1.495,1.895,2.489,2.684,3.067,3.568,3.998,4.602,5.143,5.686,6.233,6.6,6.97,7.399,7.881,8.355,8.762,9.105,9.441,9.77,10.038,10.352,10.659,10.958,11.251,11.538,11.867,12.238,12.603,12.963,13.317,13.665,14.007,14.343,14.755,15.16,15.557,15.984,16.403,16.888,17.364,17.831,18.289,18.738,19.281,19.781,20.241,20.694,21.204,21.675,22.139,22.687,23.226,23.757,24.278,24.812,25.33,25.75813462,26.18626923,26.61440385,27.04253846,27.47067308,27.89880769,28.32694231,28.75507692,29.18321154,29.61134615,30.03948077,30.46761538,30.89575,31.32388462,31.75201923,32.18015385,32.60828846,33.03642308
4,56,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.028,0.042,0.056,0.07,0.083,0.102,0.125,0.161,0.208,0.326,0.562,0.859,1.189,1.555,1.888,2.22,2.548,2.89,3.263,3.669,4.087,4.511,4.931,5.204,5.587,5.959,6.412,6.819,7.173,7.533,7.921,8.302,8.512,8.707,8.948,9.163,9.409,9.707,10.021,10.287,10.59,10.878,11.259,11.605,11.925,12.281,12.694,13.12,13.56,14.018,14.552,15.15,15.843,16.507,17.209,17.991,18.871,19.906,21.015,22.01,23.359,24.891,26.539,28.533,30.777,32.994,35.342,37.433,39.034,40.578,42.3,44.274,45.849,47.361,49.373,51.537,52.798,54.83,56.979,58.6,60.493,62.264,63.921,65.743,67.642,69.677,71.839,74.06,76.179,78.584,80.675,82.954,85.374,87.885,90.301,92.823,95.563,98.112,100.506,102.852,105.11,107.42,109.291,111.523,113.835,115.7194615,117.6039231,119.4883846,121.3728462,123.2573077,125.1417692,127.0262308,128.9106923,130.7951538,132.6796154,134.5640769,136.4485385,138.333,140.2174615,142.1019231,143.9863846,145.8708462,147.7553077
5,47,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.59,155.545,208.465,268.177,385.858,480.648,599.938,679.157,746.568,830.808,901.72,974.704,1053.675,1128.221,1199.666,1262.871,1321.161,1392.003,1457.025,1541.082,1634.024,1714.071,1791.043,1875.955,1952.627,2007.984,2125.932,2187.392,2239.62,2294.299,2350.47,2403.912,2463.658,2494.379,2571.171,2661.15,2678.419,2693.791,2708.954,2737.87,2768.9,2793.729,2814.271,2846.186,2877.044,2907.884,2937.053,2967.951,2969.679,2982.807,3018.09,3054.22,3088.867,3123.119,3158.568,3193.182,3228.679,3267.993,3305.205,3342.694,3368.133,3400.126,3438.473,3474.154,3514.602,3557.813,3594.077,3623.019,3646.364,3657.975,3667.517,3676.662,3685.851,3725.309212,3764.767423,3804.225635,3843.683846,3883.142058,3922.600269,3962.058481,4001.516692,4040.974904,4080.433115,4119.891327,4159.349538,4198.80775,4238.265962,4277.724173,4317.182385,4356.640596,4396.098808
6,158,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.039,25.508,40.972,48.453,62.114,84.05,98.61,115.615,125.695,130.919,136.308,141.139,145.156,149.377,269.708,378.649,475.589,561.381,642.357,718.406,786.968,851.038,919.733,992.368,1068.447,1126.884,1183.009,1232.178,1275.824,1319.001,1374.083,1421.231,1464.773,1504.229,1538.25,1573.563,1607.393,1642.093,1670.957,1699.824,1733.302,1759.138,1797.212,1854.034,1917.164,1981.762,2046.088,2111.127,2187.739,2251.229,2310.331,2372.742,2440.236,2503.426,2565.567,2626.394,2682.421,2741.166,2789.37,2832.046,2872.457,2915.306,2960.475,3009.445,3050.127,3091.301,3129.069,3162.741,3199.658,3234.162,3270.147,3307.28,3347.164,3384.765,3433.490519,3482.216038,3530.941558,3579.667077,3628.392596,3677.118115,3725.843635,3774.569154,3823.294673,3872.020192,3920.745712,3969.471231,4018.19675,4066.922269,4115.647788,4164.373308,4213.098827,4261.824346
7,200,USA,,,,,,0.042,0.086,0.132,0.179,0.231,0.283,0.333,0.388,0.444,0.501,0.558,0.618,0.681,0.746,0.814,0.885,0.96,1.039,1.122,1.201,1.28,1.361,1.443,1.526,1.617,1.716,1.827,1.946,2.073,2.212,2.37,2.536,2.752,2.997,3.226,3.51,3.813,4.143,4.448,4.773,5.109,5.454,5.827,6.233,6.705,7.257,7.865,8.564,9.319,10.115,10.954,11.967,13.037,14.206,15.454,16.848,18.268,19.682,21.075,22.548,24.049,25.458,26.887,28.5,30.187,31.84,33.467,35.423,37.583,39.985,42.457,44.981,48.008,51.277,54.355,57.398,60.31,63.466,66.484,70.083,74.069,78.193,82.71,87.475,92.387,97.273,102.32,107.598,113.876,119.391,125.859,132.605,139.58,146.483,152.827,159.86,166.779,173.846,181.409,189.926,198.783,208.246,218.085,229.38,240.309,252.302,264.654,278.745,290.836,303.986,318.091,331.834,346.289,361.598,375.394,389.515,404.984,421.769,439.078,453.52,470.25,483.756,497.181,514.659,530.082,545.818,562.63,578.823,594.508,611.111,625.697,637.987,648.309,659.301,670.923,682.914,696.586,710.79,722.717,735.755,750.243,765.859,782.449,799.36,817.308,834.392,850.513,868.022,885.962,900.785,917.925,935.314,951.995,968.804,984.54,1001.473,1018.905,1035.891,1052.036,1068.375,1084.819,1100.939,1117.396,1134.328,1151.758,1169.678,1188.296,1207.418,1227.04,1247.434,1269.097,1290.612,1312.893,1335.974,1358.055,1379.251,1401.513,1424.209,1446.888,1469.607,1491.157,1511.925,1531.431,1550.657,1570.686,1590.472,1610.106,1630.225,1651.07,1672.022,1692.664,1712.79,1733.067,1753.443,1773.896,1794.318,1815.185,1836.067,1856.852,1877.641,1898.923,1919.618,1940.24,1960.886,1981.681,2002.339,2022.531,2042.78,2062.13,2079.895,2098.147,2115.817,2132.694,2149.853,2167.021,2183.584,2199.638,2215.442,2231.633,2247.373,2261.407,2276.339,2291.289,2310.946538,2330.604077,2350.261615,2369.919154,2389.576692,2409.234231,2428.891769,2448.549308,2468.206846,2487.864385,2507.521923,2527.179462,2546.837,2566.494538,2586.152077,2605.809615,2625.467154,2645.124692
8,103,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.171,63.982,66.3,73.454,75.956,76.699,76.699,76.699,84.9,94.965,100.065,109.911,124.92,138.761,164.29,193.65,231.404,271.86,326.211,395.085,457.198,498.117,532.104,568.184,599.352,630.93,661.147,686.105,704.847,720.187,735.978,749.77,765.549,778.031,794.509,810.491,823.25,835.658,851.251,866.64,884.541,899.859,915.276,931.462,954.034,1321.962,1340.256,1369.966,1404.818,1438.727,1469.037,1501.181,1530.206,1559.49,1587.858,1617.507,1646.806,1676.469,1706.945,1740.239,1772.416,1803.196,1834.989,1866.724,1897.597,1925.562,1955.54,1978.5,1998.604,2022.566,2049.523,2074.569,2099.017,2123.536,2145.945,2170.246,2195.824,2226.525385,2257.226769,2287.928154,2318.629538,2349.330923,2380.032308,2410.733692,2441.435077,2472.136462,2502.837846,2533.539231,2564.240615,2594.942,2625.643385,2656.344769,2687.046154,2717.747538,2748.448923
