country,iso_code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0.461,0.515,0.428,0.505,0.503,0.582,0.596,0.498,0.546,0.462,0.553,0.586,0.623,0.762,1.172,1.238,1.359,1.598,1.891,2.242,2.455,2.711,2.876,3.243,3.986,3.961,4.052,4.814,5.419,5.569,3.866,5.555,4.518,5.133,6.984,5.577,7.35,8.805,8.266,4.782,4.309,3.844,5.093,4.133,6.225,7.526,7.211,6.755,6.092,6.634,7.65,7.45,5.301,7.386,7.564,6.887,6.653,6.713,5.66,6.225,6.523,8.54,9.68,9.903,9.555,11.983,12.002,10.352,10.535,11.019,11.729,11.734
Croatia,HRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.015,0.017,0.019,0.034,0.064,0.064,0.072,0.056,0.085,0.099,0.134,0.146,0.137,0.148,0.158,0.172,0.206,0.209,0.225,0.231,0.229,0.248,0.254,0.698,0,0,0,0,0,0.5,0.664,0.707,1.027,1.12,1.149,1.261,1.228,1.387,1.555,1.719,1.617,1.472,1.346,1.245,1.295,1.354,1.338,1.492,1.41,1.481,1.725,0,0,0.061,0.015,0.867,1.704,2.364,2.668,3.049,2.935,2.779,2.786,2.771,3.306,3.786,4.333,4.7,4.633,5.312,5.805,6.088,6.247,6.95,7.879,8.113,8.042,8.13,8.697,9.019,11.796,12.706,11.892,14.225,14.28,14.893,15.367,14.936,16.698,18.167,17.857,19.406,17.823,19.194,20.244,20.653,21.575,21.06,21.738,21.67,22.975,16.985,16.369,16.806,16.05,16.816,17.344,18.557,19.011,20.022,19.66,20.782,21.887,23.213,22.885,23.34,23.547,24.86,23.594,21.805,21.018,20.65,19.081,18.432,17.682,17.825,18.109,18.744,17.724,17.857,16.871,17.411,17.526
Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.084,0.084,0.087,0.109,0.167,0.189,0.182,0.182,5.605,6.469,6.282,6.191,5.949,6.777,5.842,13.866,17.995,15.665,13.687,12.168,14.155,13.026,14.279,14.594,15.169,15.737,16.02,17.243,18.654,19.589,20.777,22.375,22.888,27.039,27.197,29.374,30.661,31.685,31.374,32.723,34.527,30.821,32.581,32.556,33.547,33.933,35.616,35.719,29.648,27.17,20.593,19.823,21.382,22.835,23.333,24.809,24.294,24.467,25.775,25.216,25.524,25.943,25.221,26.212,26.818,26.204,28.108,28.396,34.2,29.431,29.839,28.125,27.608,29.469,28.172,24.948,23.133,22.619,21.277,20.94,20.921
Curacao,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503,0.538,1.245,1.556,2.025,1.682,1.646,1.761,1.948,2.182,2.372,2.769,3.003,2.802,2.264,2.759,1.608,2.597,3.256,3.783,4.241,4.806,4.922,0,6.164,9.722,5.613,6.497,13.141,10.87,14.058,9.602,8.411,10.827,9.309,9.716,10.67,10.22,9.937,8.916,8.337,10.27,9.55,12.498,13.978,12.165,11.796,13.086,11.861,8.589,18.348,9.583,8.162,8.562,8.811,8.392,9.383,4.822,12.042,14.095,2.702,2.402,2.366,4.505,4.824,3.849,3.171,4.896,4.694,4.645,4.345,4.547,0.251,1.881,4.99,5.081,4.899,4.902,5.143,5.098,5.313,5.981,5.753,5.887,4.055,5.173,6.287,5.928,6.797,7.328,6.192,4.965,4.313,2.242,1.806,1.741,1.757
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.282,0.315,0.366,0.443,0.451,0.674,0.817,0.765,0.831,0.886,0.864,0.905,0.985,1,1.15,1.242,1.362,1.622,1.67,1.703,1.884,2.406,2.504,1.929,1.991,2.488,2.699,2.845,3.045,3.261,3.096,3.157,3.151,3.235,3.145,3.606,4.185,4.198,4.43,4.645,5.133,5.506,5.749,5.991,5.862,6.212,6.298,6.592,6.859,7.105,6.978,7.169,7.56,7.789,7.957,8.185,8.503,8.716,8.47,8.101,7.788,7.263,6.583,6.951,6.972,7.374,7.504,7.322,7.342,6.911,7.029,7.029
Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0.665,1.131,1.597,2.063,2.528,2.994,3.457,3.923,4.389,4.855,5.32,5.783,6.249,6.715,7.181,12.412,13.041,13.671,14.691,15.564,16.438,16.809,17.954,18.545,19.471,20.469,21.5,23.044,24.397,26.091,27.05,27.461,28.071,28.775,29.864,30.599,32.385,33.108,33.968,33.721,35.235,35.706,36.377,36.732,37.813,39.488,41.5,42.266,42.008,41.57,42.096,44.791,46.851,42.712,42.618,45.36,42.654,36.366,34.356,34.073,32.723,29.205,30.868,37.888,35.656,36.152,38.797,40.849,45.695,40.313,37.72,32.877,30.066,30.033,30.919,33.594,40.694,46.59,51.194,57.696,58.076,62.637,69.156,65.928,34.988,43.569,49.453,53.451,56.189,57.854,61.651,65.919,68.322,72.966,75.747,81.281,84.904,92.772,92.872,99.053,107.505,114.564,120.492,125.402,122.2,121.522,121.279,126.88,134.694,154.42,161.977,163.451,164.108,166,173.668,180.411,185.792,187.464,182.557,184.677,182.648,180.846,181.076,187.168,184.6,185.854,183.641,180.617,172.331,164.25,148.883,145.706,140.124,132.668,131.622,135.019,130.942,125.609,116.672,127.236,127.144,123.97,127.572,128.292,125.691,126.555,128.382,122.951,114.999,117.491,115.202,111.298,106.733,104.256,105.022,106.681,107.777,106.358,101.033,91.697,96.665,97.969
Democratic Republic of Congo,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.007,0.081,0.161,0.216,0.172,0.238,0.231,0.282,0.304,0.388,0.249,0.051,0.004,0.018,0.033,0.04,0.103,0.121,0.088,0.077,0.102,0.143,0.22,0.172,0.172,0.311,0.326,0.373,0.476,1.48,1.747,2.084,2.289,2.816,3.388,3.175,3.329,2.926,2.699,2.319,2.355,2.172,2.293,1.974,2.469,2.403,2.289,3.366,3.648,2.71,2.959,3.017,3.189,3.365,3.233,3.405,3.477,3.526,3.74,3.485,3.755,3.047,3.998,3.932,3.612,3.346,3.816,3.978,4.352,4.249,3.28,2.907,2.662,2.751,3.096,3.473,3.089,2.733,2.199,1.705,1.647,1.734,2.096,2.028,2.288,2.353,2.624,2.687,2.447,2.737,3.042,2.799,3.922,5.067,3.277,2.559,3.102,3.375,3.592,3.71,3.941,3.602
Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.158,0.209,0.227,0.172,0.311,0.271,0.341,0.311,0.333,0.359,0.458,0.454,0.649,0.663,0.491,0.627,0.542,0.784,0.678,0.755,0.649,1.015,0.938,0.916,1.085,0.945,1.143,1.187,1.14,1.15,1.242,1.458,1.543,1.524,1.447,1.634,1.861,1.971,2.114,2.429,2.418,2.535,2.429,2.492,2.803,2.993,2.869,3.085,3.169,2.997,3.4,3.525,4.313,4.624,4.804,5.251,5.148,5.36,5.503,5.727,6.178,6.009,6.544,5.833,7.236,8.006,7.35,7.83,9.285,9.526,9.765,10.453,10.215,7.434,8.676,8.237,7.192,6.793,9.651,10.527,12.34,10.721,10.468,13.326,12.557,15.125,13.806,14.321,13.427,13.371,14.642,15.25,15.778,16.295,14.631,16.302,14.823,17.399,16.472,20.622,20.281,14.043,17.644,21.454,17.071,16.88,21.988,21.921,22.899,23.151,25.577,27.065,26.372,24.9,26.791,26.034,29.75,31.702,36.89,40.668,43.147,44.293,50.078,49.026,53.273,59.343,62.039,57.001,59.575,59.194,55.009,55.709,60.057,61.765,61.028,62.908,60.286,51.716,53.615,50.098,50.781,59.981,58.802,58.242,55.014,48.685,53.477,64.105,58.327,60.574,64.673,61.653,74.9,65.438,61.238,58.653,54.307,55.897,55.554,60.645,55.1,51.535,59.5,54.709,51.256,48.851,49.19,44.237,39.861,41.763,37.571,35.111,36.917,34.665,34.609,30.95,28.3,29.608,29.059
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.026,0.026,0.029,0.033,0.037,0.029,0.044,0.048,0.037,0.04,0.044,0.048,0.066,0.084,0.121,0.139,0.088,0.121,0.084,0.139,0.161,0.191,0.18,0.194,0.198,0.198,0.198,0.202,0.363,0.348,0.3,0.348,0.348,0.352,0.359,0.377,0.388,0.348,0.388,0.297,0.3,0.304,0.304,0.3,0.311,0.308,0.333,0.385,0.385,0.366,0.366,0.399,0.421,0.407,0.414,0.414,0.462,0.498,0.443,0.517,0.473,0.487,0.557,0.388,0.432,0.38,0.392,0.435,0.449,0.382,0.455,0.453
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.007,0.004,0.004,0.004,0.004,0.004,0.007,0.011,0.011,0.011,0.011,0.015,0.015,0.015,0.015,0.022,0.022,0.018,0.026,0.026,0.026,0.026,0.029,0.029,0.029,0.026,0.026,0.033,0.037,0.037,0.04,0.04,0.044,0.048,0.048,0.048,0.055,0.059,0.059,0.059,0.059,0.062,0.07,0.081,0.073,0.081,0.077,0.081,0.103,0.11,0.103,0.117,0.143,0.15,0.143,0.172,0.169,0.187,0.172,0.154,0.165,0.158,0.165,0.176,0.172,0.154,0.161,0.172,0.158,0.152,0.153
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.022,0.025,0.348,0.359,0.593,0.619,0.626,0.915,0.985,1.032,1.065,1.113,1.04,1.029,1.241,1.249,1.747,1.545,1.67,1.567,2.347,2.651,3.105,3.519,4.669,5.959,6.41,6.333,6.322,5.599,5.43,6.786,6.427,6.135,6.303,7.866,7.39,7.242,8.121,9.687,9.74,10.258,8.936,9.538,10.418,11.209,11.796,15.107,16.484,17.266,17.788,17.821,18.992,19.145,20.949,21.345,17.333,17.941,19.112,19.993,20.332,19.781,20.553,21.318,21.255,21.267,21.801,23.495,24.645,24.017,25.756,28.375,23.502,23.785,23.638
East Timor,TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.153,0.22,0.119,0.262,0.249,0.497,0.321,0.317,0.288,0.285,0.322,0.313,0.434,0.591,0.619,0.624,0.59,0.643,0.69,0.617,0.675,0.646,0.664,0.669
Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.026,0.026,0.026,0.026,0.026,0.037,0.044,0.07,0.092,0.234,0.473,0.601,0.678,0.766,0.711,0.725,0.733,0.784,0.876,0.975,1.03,1.07,1.088,0.729,1.051,1.055,1.326,1.227,1.103,1.158,1.286,1.301,0.74,0.703,0.894,0.82,0.963,1.198,1.296,1.132,1.322,1.293,1.762,1.644,1.564,1.794,2.142,2.274,2.417,2.589,3.113,3.589,4.278,4.219,4.589,5.256,6.084,7.355,8.101,7.472,10.406,12.14,13.407,16.653,19.235,19.503,21.19,19.353,15.194,15.022,17.169,20.154,16.458,16.157,21.96,24.089,14.307,23.498,25.3,19.429,23.09,21.976,20.927,23.408,24.827,27.072,29.258,30.59,29.69,34.279,30.314,33.599,36.276,38.264,37.409,39.655,43.731,41.276,39.357,39.174,38.429,40.065,32.909,39.732,41.613
Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.084,0.04,0.308,0.092,0.18,0.421,0.865,0.689,0.454,0.561,0.531,0.469,0.498,0.553,0.531,0.568,0.868,0.923,1.021,1.007,0.952,0.871,0.823,0.746,0.728,0.687,0.878,2.226,3.029,3.952,3.835,4.102,4.358,4.355,4.222,4.413,6.149,7.46,10.233,10.559,10.893,10.779,11.664,10.642,9.942,11.917,13.683,12.707,16.033,17.066,18.571,21.527,25.491,27.609,26.532,19.65,22.873,19.665,21.654,23.012,25.475,23.761,26.089,31.06,34.45,37.815,39.261,42.89,45.176,50.903,56.431,56.98,63.704,63.807,74.393,74.614,74.309,71.905,75.218,77.296,79.94,92.278,88.373,98.994,97.951,111.705,125.026,128.221,143.836,127.657,129.155,149.919,152.576,168.217,179.194,188.805,197.728,206.478,203.608,216.917,213.734,211.419,226.899,224.48,239.386,260.111,243.908,256.14,227.638,246.884,258.952
El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.322,0.388,0.418,0.469,0.461,0.527,0.597,0.597,0.604,0.619,0.582,0.648,1.125,1.231,1.04,1.304,1.157,1.26,1.19,1.428,1.509,1.677,1.967,1.97,2.105,2.207,2.282,2.381,2.377,2.119,1.819,1.752,1.885,1.588,1.965,1.967,2.414,2.433,2.547,2.475,3.155,3.317,3.976,4.513,4.998,4.414,5.416,5.731,5.588,5.671,5.857,6.07,6.435,6.254,6.298,6.718,6.846,6.405,6.312,6.319,6.499,6.472,6.094,6.151,6.668,6.596,5.97,6.263,7.55,6.594,7.488,7.714
Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0.011,0.011,0.029,0.037,0.037,0.033,0.048,0.048,0.022,0.022,0.022,0.026,0.026,0.029,0.026,0.026,0.029,0.044,0.037,0.066,0.088,0.029,0.051,0.062,0.062,0.062,0.07,0.062,0.059,0.07,0.073,0.062,0.081,0.066,0.081,0.099,0.106,0.117,0.062,0.066,0.066,0.07,1.153,1.227,1.356,1.975,2.302,2.511,2.699,3.095,2.761,3.133,6.137,6.208,6.182,5.724,5.942,4.902,6.402,6.095,6.901,8.196,7.672,7.033,7.558,7.862,6.008,4.638,5.525,5.629,5.076
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.007,0.004,0.011,0.015,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744,0.823,0.898,0.808,0.586,0.615,0.604,0.626,0.601,0.71,0.769,0.769,0.549,0.563,0.409,0.497,0.497,0.578,0.608,0.57,0.569,0.554,0.557,0.557,0.623,0.648,0.641,0.7,0.697
