,iso_code,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
42,COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.022,0.033,0.044,0.05499999999999999,0.066,0.08099999999999999,0.096,0.125,0.154,0.18,0.209,0.275,0.326,0.377,0.39899999999999997,0.421,0.443,0.46499999999999997,0.487,0.509,0.5529999999999999,0.597,0.641,0.689,0.737,0.7849999999999999,0.836,0.887,0.9349999999999999,0.986,1.037,1.085,1.125,1.173,1.228,1.29,1.3559999999999999,1.422,1.488,1.554,1.627,1.708,1.792,1.876,1.957,2.038,2.1109999999999998,2.192,2.273,2.357,2.423,2.492,2.56
43,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.172,0.359,0.5569999999999999,1.0,1.846,2.67,4.018,5.308,5.96,6.29,6.371,6.906000000000001,7.642,10.045,12.829,15.613,18.617,23.255,27.419999999999998,31.153,35.318,39.051,43.791,48.271,53.231,58.293,62.776,67.911,75.409,83.57300000000001,92.206,102.967,112.588,124.532,137.131,150.782,164.75900000000001,180.846,197.236,215.43200000000002,234.851,256.084,277.767,300.626,324.1,348.78700000000003,375.36,403.376,431.746,462.027,493.452,527.083,563.477,599.2860000000001,637.266,676.507,718.0409999999999,762.308,806.482,850.742,896.421,945.631,994.333,1042.412,1091.166,1141.29,1193.307,1246.1,1302.998,1359.652,1421.147,1484.485,1551.522,1610.943,1670.856,1736.112,1801.911,1857.387,1913.978,1970.826,2026.727,2084.105,2138.752,2198.914,2261.218,2321.709,2388.6730000000002,2461.134,2537.4,2613.6240000000003,2693.879,2781.984,2880.268,2977.042,3076.728,3169.003,3256.1150000000002,3350.6130000000003,3440.344,3536.109,3635.827
44,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.022,0.033,0.044,0.05499999999999999,0.066,0.08099999999999999,0.09899999999999999,0.11699999999999999,0.13499999999999998,0.153,0.182,0.211,0.24,0.269,0.298,0.331,0.371,0.41100000000000003,0.44,0.462,0.51,0.558,0.606,0.654,0.702,0.75,0.794,0.842,0.893,0.944,1.01,1.076,1.146,1.219,1.292,1.369,1.45,1.534,1.6260000000000001,1.721,1.824,1.93,2.036,2.172,2.319,2.462,2.627,2.733,2.843,2.979,3.14,3.283,3.437,3.62,3.781,3.961,4.177,4.444,4.737,5.048,5.429,5.844,6.257
45,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103,0.18,0.217,0.235,0.257,0.27899999999999997,0.308,0.326,0.34099999999999997,0.359,0.381,0.40299999999999997,0.421,0.436,0.46499999999999997,0.491,0.513,0.531,0.5599999999999999,0.597,0.634,0.6709999999999999,0.722,0.7839999999999999,0.85,0.9269999999999999,1.0,1.081,1.29,1.539,1.66,1.693,1.73,1.767,1.851,1.935,1.994,2.075,2.148,2.229,2.409,2.574,2.754,2.926,3.102,3.3,3.516,3.743,3.985,4.274,4.571,4.919,5.3,5.7139999999999995,6.139,6.586,7.0809999999999995,7.587,8.056,8.576,9.133,9.749,10.251,10.746,11.233,11.724,12.219,12.728,13.267,13.828,14.345,14.904,15.473
46,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,0.597,0.985,1.417,1.8239999999999998,2.1719999999999997,2.6559999999999997,3.118,3.565,3.95,4.441,4.932,5.482,6.083,6.757,7.603,8.595,9.47,10.506,11.652,12.901,14.428,16.189,18.232,20.136,22.172,24.254,26.861,29.773,32.554,35.002,37.238,39.309,41.398,43.379,45.621,48.199,50.923,53.829,56.762,59.675,62.963,66.705,70.596,75.796,80.597,85.283,90.199,95.433,100.871,106.265,111.932,118.177,124.76,131.602,138.325,145.332,153.293,161.283,169.031,176.524,183.835,191.095,198.727,206.475,213.881,221.737,229.766,237.778,245.476,252.239,259.894,267.783
47,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.16,0.244,0.331,0.44,0.607,0.796,0.978,1.16,6.765000000000001,13.234000000000002,19.516000000000002,25.707,31.656,38.433,44.275,58.141,76.136,91.801,105.488,117.656,131.811,144.837,159.11599999999999,173.71,188.879,204.61599999999999,220.636,237.879,256.533,276.122,296.899,319.274,342.162,369.201,396.398,425.772,456.433,488.118,519.492,552.215,586.742,617.563,650.144,682.7,716.247,750.18,785.796,821.515,851.163,878.333,898.926,918.749,940.131,962.966,986.299,1011.108,1035.402,1059.869,1085.644,1110.86,1136.384,1162.327,1187.548,1213.76,1240.578,1266.782,1294.89,1323.286,1357.486,1386.917,1416.756,1444.881,1472.489,1501.958,1530.13,1555.078,1578.211,1600.83,1622.107,1643.047,1663.968
48,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503,1.041,2.286,3.842,5.867,7.5489999999999995,9.195,10.956,12.904,15.085999999999999,17.458,20.227,23.23,26.032,28.296,31.055,32.663,35.26,38.516,42.299,46.54,51.346,56.268,56.268,62.432,72.154,77.767,84.264,97.405,108.27499999999999,122.333,131.935,140.346,151.173,160.482,170.198,180.868,191.088,201.025,209.941,218.278,228.548,238.09799999999998,250.596,264.574,276.739,288.53499999999997,301.621,313.48199999999997,322.07099999999997,340.419,350.002,358.164,366.726,375.537,383.929,393.312,398.134,410.176,424.271,426.973,429.375,431.741,436.246,441.07,444.919,448.09,452.986,457.68,462.325,466.67,471.217,471.468,473.349,478.339,483.42,488.319,493.221,498.364,503.462,508.775,514.756,520.509,526.396,530.451,535.624,541.911,547.8389999999999,554.636,561.9639999999999,568.156,573.121,577.434,579.676,581.482,583.223,584.98
49,CXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.15400000000000003,0.23800000000000002,0.30800000000000005,0.43300000000000005,0.5690000000000001,0.6940000000000001,0.786,0.878,0.9770000000000001,1.076,1.179,1.252,1.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.5489999999999999,0.864,1.23,1.673,2.124,2.798,3.615,4.38,5.211,6.0969999999999995,6.961,7.866,8.850999999999999,9.850999999999999,11.001,12.243,13.605,15.227,16.897,18.6,20.484,22.89,25.394,27.323,29.314,31.802,34.501,37.346000000000004,40.391,43.652,46.748,49.905,53.056,56.291,59.436,63.042,67.227,71.425,75.855,80.5,85.633,91.139,96.888,102.879,108.741,114.953,121.251,127.843,134.702,141.807,148.785,155.954,163.514,171.303,179.26,187.445,195.948,204.664,213.134,221.235,229.023,236.286,242.869,249.82,256.792,264.166,271.67,278.992,286.334,293.245,300.274,307.303
51,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202,0.867,1.998,3.5949999999999998,5.658,8.186,11.18,14.637,18.560000000000002,22.949,27.804000000000002,33.124,38.907000000000004,45.156,51.871,59.052,71.464,84.505,98.176,112.867,128.431,144.869,161.678,179.632,198.177,217.648,238.11700000000002,259.617,282.661,307.058,333.149,360.199,387.66,415.731,444.50600000000003,474.37,504.969,537.354,570.462,604.43,638.151,673.386,709.092,745.469,782.201,820.014,859.502,901.002,943.268,985.276,1026.846,1068.942,1113.733,1160.584,1203.296,1245.914,1291.274,1333.928,1370.294,1404.65,1438.723,1471.446,1500.651,1531.519,1569.407,1605.063,1641.215,1680.012,1720.8609999999999,1766.556,1806.869,1844.589,1877.466,1907.532,1937.565,1968.484,2002.078,2042.772,2089.362,2140.556,2198.252,2256.328,2318.965,2388.121,2454.049,2489.037,2532.606,2582.059,2635.51,2691.699,2749.553,2811.204,2877.123,2945.445,3018.411,3094.158,3175.439,3260.343,3353.1150000000002,3445.987,3545.04,3652.545,3767.109,3887.601,4013.003,4135.203,4256.725,4378.004,4504.884,4639.578,4793.998,4955.975,5119.426,5283.534,5449.534,5623.202,5803.613,5989.405,6176.869,6359.426,6544.103,6726.751,6907.597,7088.673,7275.841,7460.441,7646.295,7829.936,8010.553,8182.884,8347.134,8496.017,8641.723,8781.847,8914.515,9046.137,9181.156,9312.098,9437.707,9554.379,9681.615,9808.759,9932.729,10060.301,10188.593,10314.284,10440.839,10569.221,10692.172,10807.171,10924.662,11039.864,11151.162,11257.895,11362.151,11467.173,11573.854,11681.631,11787.989,11889.022,11980.719,12077.384,12175.353
52,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.949,1.392,1.839,2.374,2.924,3.499,4.126,4.921,5.456,6.009,6.5440000000000005,7.552,8.593,9.531,12.219999999999999,13.118,14.049,15.027,15.954,16.866,17.756,18.639,19.669,22.054,25.436,28.968,32.244,35.626,39.158,42.789,46.823,50.055,54.393,58.581,63.121,67.661,71.292,76.085,80.676,84.124,88.502,92.913,97.845,103.037,108.987,115.619,122.639,131.814,141.362,152.244,162.544,173.426,186.037,199.224,213.063,225.891,239.514,254.654,271.523,290.697,311.457,335.823,364.439,395.363,428.302,463.912,497.72,534.115,575.445,620.985,670.368,727.01,790.4780000000001,853.385,922.539,996.907,1074.5,1151.14,1236.489,1328.598,1426.965,1498.56,1600.078,1703.516,1804.818,1909.363,2020.21,2144.713,2278.977,2422.642,2575.735,2733.261,2894.444,3057.477,3227.868,3414.215,3613.064,3821.296,4042.136,4257.125,4477.8369999999995,4707.335,4945.62,5201.88,5475.434,5760.812,6064.096,6390.855,6716.412,7035.601,7379.2,7735.322,8117.646,8479.583,8921.766,9368.408,9813.98,10259.347,10717.933,11217.054,11752.137,12250.064,12712.97,13213.667,13738.246,14241.669,14629.097,15058.305,15531.485,15986.946,16318.875,16770.668,17228.734,17641.971,18123.157,18628.168,19167.403,19629.495,20015.46,20362.946,20727.927,21136.547,21588.88,22088.514,22652.027,23253.3,23901.925,24556.25,25217.043,25884.942,26564.372,27164.645,27280.71,27552.392,27870.052,28247.868,28680.016,29190.698,29767.564,30378.545,31002.037,31661.769,32385.267,33151.458,33929.366,34685.745,35441.54,36255.49,37090.33,37973.499,38918.997,39887.914,40848.016,41799.438,42735.667,43720.458,44772.459,45798.481,46835.718,47877.199,48962.937,50025.664,51028.111,52118.951,53171.56,54250.693,55368.581,56468.647,57517.17,58532.904,59544.509,60577.754,61621.872,62669.344,63701.787,64730.811,65739.603,66794.344,67811.214,68780.688,69740.055,70683.24,71623.137,72582.79,73514.277,74437.744,75333.146,76232.084,77147.326,78046.161,78946.019,79831.652,80697.123,81574.621,82424.851,83277.709,84065.995,84897.125,85704.739,86517.555,87351.359,88146.097,88944.182,89745.927,90531.913,91286.724,91994.215,92641.467,93320.266,93985.871
53,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.037,0.063,0.092,0.125,0.162,0.191,0.235,0.28300000000000003,0.32,0.36,0.404,0.452,0.518,0.602,0.723,0.862,0.95,1.071,1.155,1.294,1.455,1.6460000000000001,1.826,2.02,2.218,2.416,2.614,2.8160000000000003,3.1790000000000003,3.527,3.827,4.175,4.523,4.875,5.234,5.611,5.999,6.3469999999999995,6.735,7.032,7.332,7.636,7.9399999999999995,8.24,8.551,8.859,9.192,9.577,9.962,10.328,10.693999999999999,11.093,11.514,11.921,12.334999999999999,12.749,13.211,13.709,14.152,14.669,15.142,15.629,16.186,16.573999999999998,17.006,17.386,17.778,18.213,18.662,19.044,19.499,19.951999999999998
54,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.011,0.015,0.019,0.023,0.027,0.031,0.038,0.049,0.06,0.071,0.082,0.097,0.112,0.127,0.142,0.16399999999999998,0.186,0.204,0.22999999999999998,0.256,0.282,0.308,0.33699999999999997,0.366,0.395,0.421,0.447,0.48,0.517,0.5539999999999999,0.594,0.634,0.6779999999999999,0.726,0.774,0.822,0.877,0.9359999999999999,0.995,1.054,1.113,1.175,1.2449999999999999,1.326,1.399,1.48,1.557,1.638,1.7409999999999999,1.851,1.954,2.071,2.214,2.364,2.507,2.679,2.848,3.035,3.207,3.3609999999999998,3.526,3.684,3.8489999999999998,4.025,4.197,4.351,4.512,4.684,4.842,4.994,5.147
55,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136,0.29400000000000004,0.503,0.73,0.902,1.213,1.484,1.825,2.136,2.469,2.828,3.286,3.74,4.389,5.052,5.543,6.17,6.712,7.496,8.174,8.929,9.578,10.593,11.531,12.447,13.532,14.477,15.620000000000001,16.807,17.947,19.097,20.339,21.797,23.34,24.864,26.311,27.945,29.806,31.777,33.891,36.32,38.738,41.273,43.702,46.194,48.997,51.99,54.859,57.944,61.113,64.11,67.51,71.035,75.348,79.972,84.776,90.027,95.175,100.535,106.038,111.765,117.943,123.952,130.496,136.329,143.565,151.571,158.921,166.751,176.036,185.562,195.327,205.78,215.995,223.429,232.105,240.342,247.534,254.327,263.978,274.505,286.845,297.566,308.034,321.36,333.91700000000003,349.04200000000003,362.848,377.169,390.596,403.967,418.609,433.859,449.637,465.932,480.563,496.865,511.688,529.087,545.559,566.181,586.462,600.505,618.149,639.603,656.674,673.554,695.542,717.463,740.362,763.513,789.09,816.155,842.527,867.427,894.218,920.252,950.002,981.704,1018.594,1059.262,1102.409,1146.702,1196.78,1245.806,1299.079,1358.422,1420.461,1477.462,1537.037,1596.231,1651.24,1706.949,1767.006,1828.771,1889.799,1952.707,2012.993,2064.709,2118.324,2168.422,2219.203,2279.184,2337.986,2396.228,2451.242,2499.927,2553.404,2617.509,2675.8360000000002,2736.41,2801.083,2862.736,2937.636,3003.074,3064.312,3122.965,3177.272,3233.169,3288.723,3349.368,3404.468,3456.003,3515.503,3570.212,3621.468,3670.319,3719.509,3763.746,3803.607,3845.37,3882.9410000000003,3918.052,3954.969,3989.634,4024.243,4055.193,4083.493,4113.101,4142.16
56,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.028999999999999998,0.054,0.40199999999999997,0.7609999999999999,1.3539999999999999,1.9729999999999999,2.5989999999999998,3.514,4.499,5.531,6.596,7.709,8.749,9.778,11.019,12.268,14.015,15.56,17.23,18.797,21.144,23.795,26.9,30.419,35.088,41.047,47.457,53.79,60.112,65.711,71.141,77.92699999999999,84.354,90.489,96.792,104.658,112.048,119.28999999999999,127.411,137.09799999999998,146.838,157.096,166.03199999999998,175.57,185.988,197.197,208.993,224.1,240.584,257.85,275.638,293.459,312.451,331.596,352.545,373.89,391.223,409.164,428.276,448.269,468.601,488.382,508.935,530.253,551.508,572.775,594.576,618.071,642.716,666.733,692.489,720.864,744.366,768.151,791.789
57,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.011,0.028999999999999998,0.047,0.06899999999999999,0.095,0.121,0.13599999999999998,0.16499999999999998,0.198,0.238,0.297,0.37,0.45,0.534,0.633,0.746,0.867,1.006,1.138,1.189,1.258,1.291,1.452,1.69,2.001,2.499,2.968,3.466,4.0809999999999995,4.843,5.586,6.388,7.296,11.08,15.211,19.1,23.099,27.251,31.858,36.853,42.39,47.604,53.261,59.412,65.468,71.129,76.548,82.191,88.78,97.201,105.633,114.683,125.946,141.005,159.655,187.978,226.255,258.132,290.133,329.264,371.109,433.56399999999996,479.11,545.526,591.8679999999999,631.0409999999999,683.545,754.492,827.101,903.181,987.064,1070.772,1150.58,1227.318,1306.125,1386.008,1467.952,1556.56,1653.337,1753.376,1841.745,1948.282,2039.731,2125.13,2211.969,2302.661,2397.242,2488.956,2599.949,2705.845,2815.734,2926.821,3045.677,3164.0299999999997,3289.125,3424.799,3565.585,3716.868,3876.955,4035.437,4200.527,4371.803,4550.38,4720.273,4900.498,5076.843
58,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.052,0.078,0.104,0.13,0.156,0.193,0.237,0.307,0.399,0.633,1.1059999999999999,1.7069999999999999,2.385,3.151,3.862,4.587,5.32,6.104,6.98,7.955,8.985,10.055,11.143,11.872,12.923,13.978,15.304,16.531,17.634,18.792,20.078,21.379,22.119,22.822,23.716,24.536,25.499,26.697,27.993,29.125,30.447,31.74,33.502,35.146,36.71,38.504,40.646,42.92,45.337,47.926,51.039,54.628,58.906,63.125,67.714,72.97,79.054,86.409,94.51,101.982,112.388,124.528,137.935,154.588,173.823,193.326,214.516,233.869,249.06300000000002,264.085,281.254,301.408,317.866,334.023,355.983,380.072,394.379,417.877,443.177,462.606,485.696,507.672,528.599,552.007,576.8340000000001,603.906,633.164,663.754,693.444,727.723,758.037,791.636,827.912,866.176,903.585,943.24,986.971,1028.247,1067.604,1106.778,1145.207,1185.272,1218.181,1257.913,1299.526
59,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.095,0.135,0.443,0.535,0.715,1.1360000000000001,2.001,2.69,3.144,3.705,4.236,4.705,5.203,5.756,6.287,6.855,7.723,8.646,9.667,10.674,11.626,12.497,13.32,14.065999999999999,14.794,15.481,16.358999999999998,18.585,21.614,25.566,29.401,33.503,37.861,42.216,46.438,50.851,57.0,64.46000000000001,74.693,85.252,96.145,106.924,118.588,129.23,139.172,151.089,164.772,177.479,193.512,210.578,229.149,250.676,276.16700000000003,303.776,330.308,349.958,372.831,392.496,414.15,437.162,462.637,486.398,512.487,543.547,577.997,615.812,655.073,697.963,743.139,794.042,850.473,907.453,971.157,1034.964,1109.357,1183.971,1258.28,1330.185,1405.403,1482.699,1562.6390000000001,1654.917,1743.29,1842.284,1940.2350000000001,2051.94,2176.966,2305.187,2449.023,2576.68,2705.835,2855.754,3008.33,3176.547,3355.741,3544.5460000000003,3742.274,3948.752,4152.36,4369.277,4583.011,4794.43,5021.329,5245.809,5485.195,5745.3060000000005,5989.214,6245.354,6472.992,6719.876,6978.828
60,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.022,0.026,0.037,0.052,0.06999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06999999999999999,,,0.06999999999999999,0.814,1.637,2.535,3.343,3.929,4.544,5.148,5.774,6.375,7.085,7.854,8.623,9.172,9.735,10.144,10.641,11.138,11.716,12.324,12.894,13.463,14.017,14.574,15.131,15.754,16.402,17.043,17.743,18.44
61,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.008,0.012,0.016,0.02,0.024,0.046,0.08299999999999999,0.109,0.157,0.194,0.297,0.43999999999999995,0.612,0.814,1.089,1.371,1.631,1.924,2.25,2.745,3.254,3.789,4.441,4.991,5.5440000000000005,6.299,7.149,8.299,9.929,11.86,13.864,16.051,18.483999999999998,20.817999999999998,23.123,25.413,27.97,30.63,33.268,36.342,39.281,42.542,45.678,48.796,52.086,55.655,59.436,63.192,67.164,71.579,76.511,81.893,87.79599999999999,93.666,99.426,105.519,111.66,118.094,124.916,132.255,140.195,148.494,156.613,165.348,173.951,183.254,192.799,202.172,212.798,224.017,235.822,248.159,260.334,273.327,286.898,300.759,314.854,329.638,344.803,359.697,374.426,390.408,407.827,425.128,440.44,458.306,474.156,490.889,506.816,520.871,535.718,550.66,567.873,586.263,605.316,623.695,645.14,666.649,690.619,714.255,736.786,757.962,776.668,796.913,819.3679999999999,827.423,832.668,845.889,861.603,883.222,904.73,927.788,951.637,977.428,1005.6949999999999,1033.782,1064.954,1097.668,1133.423,1166.458,1199.573,1237.176,1276.107,1315.831,1356.103,1398.436,1448.649,1504.522,1556.6009999999999,1605.467,1659.074,1719.05,1777.793,1842.117,1913.137,1990.754,2077.148,2174.165,2270.902,2387.668,2516.127,2660.843,2815.8,2988.466,3169.52,3367.266,3562.0950000000003,3761.609,3964.356,4178.268,4384.3640000000005,4592.963,4796.398,4994.0650000000005,5193.996,5383.109,5572.617,5770.075,5994.96,6225.46,6465.691,6714.323,6954.369,7206.669,7472.704,7726.202,7992.034,8266.639,8564.714,8874.785,9186.594000000001,9518.544,9854.876,10207.887,10576.225,10935.878,11303.277,11639.164,11935.664,12218.601,12502.4,12780.460000000001,13032.4,13286.58,13557.347,13816.976,14090.568,14359.169,14609.83,14823.455,15053.724,15299.338
